id,titulo,autor,anio,protegida_en,motivos
209,Ifigenia,Teresa de la Parra,1924,MX(hasta 2036),año de muerte sin verificar
210,Cumandá,Juan León Mera,1879,,falta año de muerte del autor
211,Siete tratados,Juan Montalvo,1882,,falta año de muerte del autor
212,English First,Ministerio de Educación de Chile (MINEDUC),2023,,no es dominio público sino 'Descarga liberada para la ciudadanía': revisar licencia y atribución | falta año de muerte del autor
213,Juego Primero,Ministerio de Educación de Chile (MINEDUC),2023,,no es dominio público sino 'Descarga liberada para la ciudadanía': revisar licencia y atribución | falta año de muerte del autor
214,Narraciones Extraordinarias,Edgar Allan Poe,1908,,no es dominio público sino 'Biblioteca de descarga liberada (MINEDUC)': revisar licencia y atribución | falta año de muerte del autor
215,Malena,Antonella Reveco Spalloni,2020,,no es dominio público sino 'Biblioteca de descarga liberada (MINEDUC)': revisar licencia y atribución | falta año de muerte del autor
216,Historia de la aviación en Chile,Enrique Flores Álvarez,1930,,no es dominio público sino 'Biblioteca de descarga liberada (MINEDUC)': revisar licencia y atribución | falta año de muerte del autor
217,Ensayo de una bibliografía dramática chilena,Nicolás Anrique R.,1899,,no es dominio público sino 'Biblioteca de descarga liberada (MINEDUC)': revisar licencia y atribución | falta año de muerte del autor
218,Mis memorias,"Carmen Smith de Espinosa (Smith Canales, Carmen)",1936,,falta año de muerte del autor
219,Clases de astronomía: profesadas en la Universidad de Santiago de Chile,Friedrich Wilhelm Ristenpart,1912,,falta año de muerte del autor
220,Peces nuevos de Chile,Rodolfo Amando Philippi,1896,,falta año de muerte del autor
221,Viage al Desierto de Atacama: hecho de orden del gobierno de Chile en el verano 1853-54,Rodolfo Amando Philippi,1860,,falta año de muerte del autor
222,El origen de las especies por medio de la selección natural,Charles Darwin,1921,,año de muerte sin verificar | edición de 1921 es 39 años posterior a la muerte del autor: posible traducción/prólogo/edición crítica con derechos propios
223,Jeolojía de la América Meridional,Charles Darwin,1906,,año de muerte sin verificar | edición de 1906 es 24 años posterior a la muerte del autor: posible traducción/prólogo/edición crítica con derechos propios
224,Viaje de un naturalista alrededor del mundo,Charles Darwin,1945,,año de muerte sin verificar | edición de 1945 es 63 años posterior a la muerte del autor: posible traducción/prólogo/edición crítica con derechos propios
225,Revista Colombiana de Química,"Universidad Nacional de Colombia, Facultad de Ciencias",1971,,no es dominio público sino 'Acceso abierto (CC BY 3.0)': revisar licencia y atribución | falta año de muerte del autor
227,Los heraldos negros,César Vallejo,1918,MX(hasta 2038),año de muerte sin verificar
228,Los Astros del Abismo,Delmira Agustini,1924,,año de muerte sin verificar
229,Antología,Delmira Agustini,1965,,año de muerte sin verificar | edición de 1965 es 51 años posterior a la muerte del autor: posible traducción/prólogo/edición crítica con derechos propios
230,Languidez: versos,Alfonsina Storni,1920,MX(hasta 2038),año de muerte sin verificar
231,El dulce daño,Alfonsina Storni,1918,MX(hasta 2038),año de muerte sin verificar
232,Poemas de amor,Alfonsina Storni,1926,MX(hasta 2038),año de muerte sin verificar
234,Sangre y arena,Vicente Blasco Ibáñez,1908,MX(hasta 2028),año de muerte sin verificar
235,La reina Calafia,Vicente Blasco Ibáñez,1923,MX(hasta 2028),año de muerte sin verificar
236,Los cuatro jinetes del Apocalipsis,Vicente Blasco Ibáñez,1919,MX(hasta 2028),año de muerte sin verificar
237,Argentina y sus grandezas,Vicente Blasco Ibáñez,1910,MX(hasta 2028),año de muerte sin verificar
238,El intruso,Vicente Blasco Ibáñez,1924,MX(hasta 2028),año de muerte sin verificar
240,El militarismo mejicano,Vicente Blasco Ibáñez,1920,MX(hasta 2028),año de muerte sin verificar
241,La catedral,Vicente Blasco Ibáñez,1916,MX(hasta 2028),año de muerte sin verificar
242,Cartografía de México y el mundo,Secretaría de Educación Pública (SEP) / CONALITEG,2025,,no es dominio público sino 'Distribución gratuita nacional': revisar licencia y atribución | falta año de muerte del autor
243,Historia del pueblo mexicano,Secretaría de Educación Pública (SEP) / CONALITEG,2025,,no es dominio público sino 'Distribución gratuita nacional': revisar licencia y atribución | falta año de muerte del autor
244,Colección Ximhai. Saberes y pensamiento científico,Secretaría de Educación Pública (SEP) / CONALITEG,2025,,no es dominio público sino 'Distribución gratuita nacional': revisar licencia y atribución | falta año de muerte del autor
246,Sub sole,Baldomero Lillo,1907,,falta año de muerte del autor
247,El Loco Estero,Alberto Blest Gana,1909,,falta año de muerte del autor
248,Mariluán,Alberto Blest Gana,1862,,falta año de muerte del autor
249,Gladys Fairfield,Alberto Blest Gana,1912,,falta año de muerte del autor
250,La Venganza,Alberto Blest Gana,1861,,falta año de muerte del autor
251,Un Día de Campo,Alberto Blest Gana,1859,,falta año de muerte del autor
252,Bajo la Tienda,Daniel Riquelme,1896,,falta año de muerte del autor
253,Días de Campo,Federico Gana,1916,,falta año de muerte del autor
254,Antaño i Hogaño,José Victorino Lastarria,1885,,falta año de muerte del autor
255,Cuentos completos,Baldomero Lillo,1904-1923,,falta año de muerte del autor
257,Cuentos,Joaquín Díaz Garcés,1894,,falta año de muerte del autor
258,Campos de Castilla,Antonio Machado,1912,,falta año de muerte del autor
259,Cantos de Vida y Esperanza,Rubén Darío,1905,,falta año de muerte del autor
261,Capítulos que se le Olvidaron a Cervantes,Juan Montalvo,1895,,falta año de muerte del autor
262,El Tungsteno,César Vallejo,1931,MX(hasta 2038),año de muerte sin verificar
263,Paco Yunque,César Vallejo,1931,MX(hasta 2038),año de muerte sin verificar
264,Abel Sánchez,Miguel de Unamuno,1917,MX(hasta 2036),año de muerte sin verificar
265,Cuentos Morales,"Leopoldo Alas ""Clarín""",1896,,falta año de muerte del autor
266,Tradiciones peruanas (segunda serie),Ricardo Palma,1874,,falta año de muerte del autor
267,Tradiciones peruanas (tercera serie),Ricardo Palma,1875,,falta año de muerte del autor
269,La Madre Naturaleza,Emilia Pardo Bazán,1887,,año de muerte sin verificar
270,La Quimera,Emilia Pardo Bazán,1905,,año de muerte sin verificar
268,La Tribuna,Emilia Pardo Bazán,1883,,año de muerte sin verificar
271,Arroz y Tartana,Vicente Blasco Ibáñez,1894,MX(hasta 2028),año de muerte sin verificar
274,La Bodega,Vicente Blasco Ibáñez,1905,MX(hasta 2028),año de muerte sin verificar
273,Cañas y Barro,Vicente Blasco Ibáñez,1902,MX(hasta 2028),año de muerte sin verificar
275,La Horda,Vicente Blasco Ibáñez,1905,MX(hasta 2028),año de muerte sin verificar
276,La Maja Desnuda,Vicente Blasco Ibáñez,1906,MX(hasta 2028),año de muerte sin verificar
277,Mare Nostrum,Vicente Blasco Ibáñez,1918,MX(hasta 2028),año de muerte sin verificar
272,Entre Naranjos,Vicente Blasco Ibáñez,1900,MX(hasta 2028),año de muerte sin verificar
278,El Papa del Mar,Vicente Blasco Ibáñez,1925,MX(hasta 2028),año de muerte sin verificar
280,Amor y Pedagogía,Miguel de Unamuno,1902,MX(hasta 2036),año de muerte sin verificar
281,El Espejo de la Muerte,Miguel de Unamuno,1913,MX(hasta 2036),año de muerte sin verificar
279,Paz en la Guerra,Miguel de Unamuno,1897,MX(hasta 2036),año de muerte sin verificar
282,"San Manuel Bueno, Mártir",Miguel de Unamuno,1931,MX(hasta 2036),año de muerte sin verificar
286,El Canto Errante,Rubén Darío,1907,,falta año de muerte del autor
285,Peregrinaciones,Rubén Darío,1901,,falta año de muerte del autor
284,Prosas Profanas,Rubén Darío,1896,,falta año de muerte del autor
283,Los Raros,Rubén Darío,1896,,falta año de muerte del autor
287,Su Único Hijo,"Leopoldo Alas ""Clarín""",1891,,falta año de muerte del autor
291,Clemencia,Fernán Caballero,1852,,falta año de muerte del autor
292,Aves Sin Nido,Clorinda Matto de Turner,1889,,falta año de muerte del autor
294,La Educación de la Mujer,Concepción Arenal,1892,,falta año de muerte del autor
293,La Mujer del Porvenir,Concepción Arenal,1869,,falta año de muerte del autor
296,La Hija del Mar,Rosalía de Castro,1859,,falta año de muerte del autor
295,En las Orillas del Sar,Rosalía de Castro,1884,,falta año de muerte del autor
297,La Malcasada,Carmen de Burgos,1923,MX(hasta 2032),año de muerte sin verificar
298,La Rampa,Carmen de Burgos,1917,MX(hasta 2032),año de muerte sin verificar
299,Novelas y Cuadros de la Vida Sur-Americana,Soledad Acosta de Samper,1869,,falta año de muerte del autor
307,La gruta del silencio,Vicente Huidobro,1913,MX(hasta 2048),año de muerte sin verificar
308,Altazor,Vicente Huidobro,1931,MX(hasta 2048),año de muerte sin verificar
311,Poemas Árticos,Vicente Huidobro,1918,MX(hasta 2048),año de muerte sin verificar
309,Canciones en la Noche,Vicente Huidobro,1913,MX(hasta 2048),año de muerte sin verificar
310,Ecuatorial,Vicente Huidobro,1918,MX(hasta 2048),año de muerte sin verificar
312,La Vuelta de Martín Fierro,José Hernández,1879,,falta año de muerte del autor
314,Cuentos de Muerte y de Sangre,Ricardo Güiraldes,1915,MX(hasta 2027),año de muerte sin verificar
313,Don Segundo Sombra,Ricardo Güiraldes,1926,MX(hasta 2027),año de muerte sin verificar
315,Xaimaca,Ricardo Güiraldes,1923,MX(hasta 2027),año de muerte sin verificar
316,El Casamiento de Laucha,Roberto Payró,1906,,falta año de muerte del autor
318,Divertidas Aventuras del Nieto de Juan Moreira,Roberto Payró,1910,,falta año de muerte del autor
317,Pago Chico,Roberto Payró,1908,,falta año de muerte del autor
319,Los Bandidos de Río Frío,Manuel Payno,1891,,falta año de muerte del autor
322,Clemencia,Ignacio Manuel Altamirano,1869,,falta año de muerte del autor
323,La Navidad en las Montañas,Ignacio Manuel Altamirano,1871,,falta año de muerte del autor
321,El Zarco,Ignacio Manuel Altamirano,1901,,falta año de muerte del autor
326,La Vorágine,José Eustasio Rivera,1924,MX(hasta 2028),año de muerte sin verificar
328,En la Sangre,Eugenio Cambaceres,1887,,falta año de muerte del autor
327,Sin Rumbo,Eugenio Cambaceres,1885,,falta año de muerte del autor
330,Los Motivos de Proteo,José Enrique Rodó,1909,,falta año de muerte del autor
324,En la Diestra de Dios Padre,Tomás Carrasquilla,1897,,falta año de muerte del autor
325,Simón el Mago,Tomás Carrasquilla,1890,,falta año de muerte del autor
329,Ariel,José Enrique Rodó,1900,,falta año de muerte del autor
336,Autobiografía,Rubén Darío,1912,,falta año de muerte del autor
338,Cabezas,Rubén Darío,1916,,falta año de muerte del autor
337,Historia de mis Libros,Rubén Darío,1916,,falta año de muerte del autor
334,Letras,Rubén Darío,1911,,falta año de muerte del autor
339,El Oro de Mallorca,Rubén Darío,1913,,falta año de muerte del autor
332,Parisiana,Rubén Darío,1907,,falta año de muerte del autor
335,Todo al Vuelo,Rubén Darío,1912,,falta año de muerte del autor
333,Viaje a Nicaragua,Rubén Darío,1909,,falta año de muerte del autor
340,Abdala,José Martí,1869,,falta año de muerte del autor
341,Amistad Funesta,José Martí,1885,,falta año de muerte del autor
342,Amor con Amor se Paga,José Martí,1875,,falta año de muerte del autor
344,Cuentos y Prosas Breves,José Asunción Silva,1896,,falta año de muerte del autor
343,De Sobremesa,José Asunción Silva,1896,,falta año de muerte del autor
345,Gurí y Otras Novelas,Javier de Viana,1901,MX(hasta 2026),año de muerte sin verificar
346,Cuentos,Rafael Barrett,1910,,falta año de muerte del autor
347,Al margen,Rafael Barrett,1912,,falta año de muerte del autor
354,Abrojos,Javier de Viana,1919,MX(hasta 2026),año de muerte sin verificar
351,La Biblia Gaucha,Javier de Viana,1925,MX(hasta 2026),año de muerte sin verificar
352,Campo,Javier de Viana,1896,MX(hasta 2026),año de muerte sin verificar
359,Del Campo y de la Ciudad,Javier de Viana,1921,MX(hasta 2026),año de muerte sin verificar
355,Cardos,Javier de Viana,1919,MX(hasta 2026),año de muerte sin verificar
360,Cuentos dispersos,Javier de Viana,1926,MX(hasta 2026),año de muerte sin verificar
349,Leña Seca,Javier de Viana,1911,MX(hasta 2026),año de muerte sin verificar
350,Macachines,Javier de Viana,1910,MX(hasta 2026),año de muerte sin verificar
356,Paisanas,Javier de Viana,1920,MX(hasta 2026),año de muerte sin verificar
358,"Potros, Toros y Aperiases",Javier de Viana,1922,MX(hasta 2026),año de muerte sin verificar
357,Ranchos,Javier de Viana,1920,MX(hasta 2026),año de muerte sin verificar
348,Tardes del Fogón,Javier de Viana,1925,MX(hasta 2026),año de muerte sin verificar
353,Yuyos,Javier de Viana,1912,MX(hasta 2026),año de muerte sin verificar
370,Historia de un Amor Turbio,Horacio Quiroga,1908,MX(hasta 2037),año de muerte sin verificar
368,Anaconda y Otros Cuentos,Horacio Quiroga,1921,MX(hasta 2037),año de muerte sin verificar
366,De La Vida De Nuestros Animales,Horacio Quiroga,s. f.,MX(hasta 2037),año de muerte sin verificar
361,Los Arrecifes De Coral,Horacio Quiroga,1901,MX(hasta 2037),año de muerte sin verificar
381,Sobre el Arte de Contar Historias,Horacio Quiroga,s. f.,MX(hasta 2037),año de muerte sin verificar
387,Artículos y Crónicas,Horacio Quiroga,1937,MX(hasta 2037),año de muerte sin verificar
371,Biografías Ejemplares,Horacio Quiroga,s. f.,MX(hasta 2037),año de muerte sin verificar
375,Cartas de un Cazador,Horacio Quiroga,s. f.,MX(hasta 2037),año de muerte sin verificar
369,El Crimen del Otro y Otros Cuentos,Horacio Quiroga,1904,MX(hasta 2037),año de muerte sin verificar
382,Cuadrivio Laico,Horacio Quiroga,1904,MX(hasta 2037),año de muerte sin verificar
376,El Desierto y Otros Cuentos,Horacio Quiroga,1924,MX(hasta 2037),año de muerte sin verificar
380,Los Desterrados y Otros Cuentos,Horacio Quiroga,1926,MX(hasta 2037),año de muerte sin verificar
383,Diario De Viaje A París,Horacio Quiroga,s. f.,MX(hasta 2037),año de muerte sin verificar
367,Los Estrenos Cinematográficos,Horacio Quiroga,s. f.,MX(hasta 2037),año de muerte sin verificar
378,Textos Fronterizos,Horacio Quiroga,s. f.,MX(hasta 2037),año de muerte sin verificar
379,Un Idilio,Horacio Quiroga,s. f.,MX(hasta 2037),año de muerte sin verificar
372,Corto poema de María Angélica,Horacio Quiroga,s. f.,MX(hasta 2037),año de muerte sin verificar
377,Más Allá y Otros Cuentos,Horacio Quiroga,1935,MX(hasta 2037),año de muerte sin verificar
388,Cuentos y Prosas no Recogidos en Libro,Horacio Quiroga,1937,MX(hasta 2037),año de muerte sin verificar
365,Pasado Amor,Horacio Quiroga,1929,MX(hasta 2037),año de muerte sin verificar
386,Venida del Primogénito,Horacio Quiroga,s. f.,MX(hasta 2037),año de muerte sin verificar
364,Las Sacrificadas,Horacio Quiroga,1920,MX(hasta 2037),año de muerte sin verificar
363,El Salvaje y Otros Cuentos,Horacio Quiroga,1920,MX(hasta 2037),año de muerte sin verificar
384,El Soldado,Horacio Quiroga,s. f.,MX(hasta 2037),año de muerte sin verificar
362,Suelo Natal,Horacio Quiroga,1931,MX(hasta 2037),año de muerte sin verificar
397,Alucinación,Carmen de Burgos,1905,MX(hasta 2032),año de muerte sin verificar
391,Amadís,Carmen de Burgos,s. f.,MX(hasta 2032),año de muerte sin verificar
394,Los Anticuarios,Carmen de Burgos,1919,MX(hasta 2032),año de muerte sin verificar
398,La Ciudad Encantada,Carmen de Burgos,s. f.,MX(hasta 2032),año de muerte sin verificar
389,Confidencias,Carmen de Burgos,1916,MX(hasta 2032),año de muerte sin verificar
392,Cuentos de Colombine,Carmen de Burgos,s. f.,MX(hasta 2032),año de muerte sin verificar
395,Los Espirituados,Carmen de Burgos,1923,MX(hasta 2032),año de muerte sin verificar
396,Los Inadaptados,Carmen de Burgos,1909,MX(hasta 2032),año de muerte sin verificar
401,La Justicia del Mar,Carmen de Burgos,s. f.,MX(hasta 2032),año de muerte sin verificar
402,Los Míseros,Carmen de Burgos,s. f.,MX(hasta 2032),año de muerte sin verificar
393,La Mujer Fantástica,Carmen de Burgos,1924,MX(hasta 2032),año de muerte sin verificar
399,La Mujer Fría,Carmen de Burgos,s. f.,MX(hasta 2032),año de muerte sin verificar
400,El Perseguidor,Carmen de Burgos,s. f.,MX(hasta 2032),año de muerte sin verificar
403,Puñal de Claveles,Carmen de Burgos,1931,MX(hasta 2032),año de muerte sin verificar
390,Quiero Vivir mi Vida,Carmen de Burgos,1931,MX(hasta 2032),año de muerte sin verificar
404,El Último Deseo,Carmen de Burgos,1916,MX(hasta 2032),año de muerte sin verificar
416,Callar en Vida y Perdonar en Muerte,Fernán Caballero,s. f.,,falta año de muerte del autor
421,La Corruptora y la Buena Maestra,Fernán Caballero,s. f.,,falta año de muerte del autor
417,Cosa Cumplida... Sólo en la Otra Vida,Fernán Caballero,s. f.,,falta año de muerte del autor
422,Cuentos dispersos,Fernán Caballero,s. f.,,falta año de muerte del autor
410,Las Dos Gracias,Fernán Caballero,s. f.,,falta año de muerte del autor
411,La Estrella de Vandalia,Fernán Caballero,1855,,falta año de muerte del autor
407,La Familia de Alvareda,Fernán Caballero,1856,,falta año de muerte del autor
414,La Farisea,Fernán Caballero,s. f.,,falta año de muerte del autor
420,La Flor de las Ruinas,Fernán Caballero,s. f.,,falta año de muerte del autor
419,Justa y Rufina,Fernán Caballero,s. f.,,falta año de muerte del autor
405,La Mitología Contada a los Niños e Historia de los Grandes Hombres de la Grecia,Fernán Caballero,1867,,falta año de muerte del autor
418,No Transige la Conciencia,Fernán Caballero,s. f.,,falta año de muerte del autor
412,¡Pobre Dolores!,Fernán Caballero,s. f.,,falta año de muerte del autor
406,Relaciones,Fernán Caballero,s. f.,,falta año de muerte del autor
415,Un Servilón y un Liberalito,Fernán Caballero,1857,,falta año de muerte del autor
413,Vulgaridad y Nobleza,Fernán Caballero,s. f.,,falta año de muerte del autor
431,Cuentos dispersos,Juana Manuela Gorriti,s. f.,,falta año de muerte del autor
426,Escenas de Lima,Juana Manuela Gorriti,s. f.,,falta año de muerte del autor
429,Feliza,Juana Manuela Gorriti,s. f.,,falta año de muerte del autor
427,El Guante Negro,Juana Manuela Gorriti,s. f.,,falta año de muerte del autor
430,La Hija del Mashorquero,Juana Manuela Gorriti,s. f.,,falta año de muerte del autor
423,Oasis en la Vida,Juana Manuela Gorriti,1888,,falta año de muerte del autor
424,El Pozo del Yocci,Juana Manuela Gorriti,1869,,falta año de muerte del autor
428,Una Visita al Manicomio,Juana Manuela Gorriti,s. f.,,falta año de muerte del autor
435,Un Crimen,Soledad Acosta de Samper,s. f.,,falta año de muerte del autor
434,Mercedes,Soledad Acosta de Samper,s. f.,,falta año de muerte del autor
432,Los Piratas en Cartagena,Soledad Acosta de Samper,1886,,falta año de muerte del autor
433,Teresa la Limeña,Soledad Acosta de Samper,1869,,falta año de muerte del autor
455,Algo de Todo,Juan Valera,s. f.,,falta año de muerte del autor
453,Asclepigenia,Juan Valera,1878,,falta año de muerte del autor
449,La Buena Fama,Juan Valera,s. f.,,falta año de muerte del autor
456,El Caballero de Azor,Juan Valera,s. f.,,falta año de muerte del autor
445,Cartas Americanas,Juan Valera,1889,,falta año de muerte del autor
442,El Comendador Mendoza,Juan Valera,1877,,falta año de muerte del autor
439,Cuentos y Chascarrillos Andaluces,Juan Valera,1896,,falta año de muerte del autor
441,Cuentos y Diálogos,Juan Valera,s. f.,,falta año de muerte del autor
447,Doña Luz,Juan Valera,1879,,falta año de muerte del autor
454,Garuda o la Cigüeña Blanca,Juan Valera,s. f.,,falta año de muerte del autor
444,Genio y Figura,Juan Valera,1897,,falta año de muerte del autor
438,Juanita la Larga,Juan Valera,1895,,falta año de muerte del autor
452,Leyendas del Antiguo Oriente,Juan Valera,s. f.,,falta año de muerte del autor
450,Mariquita y Antonio,Juan Valera,1861,,falta año de muerte del autor
437,Morsamor,Juan Valera,1899,,falta año de muerte del autor
446,Nuevas Cartas Americanas,Juan Valera,1890,,falta año de muerte del autor
448,Pasarse de Listo,Juan Valera,1878,,falta año de muerte del autor
440,El Superhombre y Otras Novedades,Juan Valera,s. f.,,falta año de muerte del autor
436,De Varios Colores,Juan Valera,s. f.,,falta año de muerte del autor
443,A Vuela Pluma,Juan Valera,s. f.,,falta año de muerte del autor
468,Águila de Blasón,Ramón María del Valle-Inclán,1907,MX(hasta 2036),año de muerte sin verificar
486,Un Bastardo de Narizotas,Ramón María del Valle-Inclán,s. f.,MX(hasta 2036),año de muerte sin verificar
460,Baza de Espadas,Ramón María del Valle-Inclán,1932,MX(hasta 2036),año de muerte sin verificar
465,La Cara de Dios,Ramón María del Valle-Inclán,1899,MX(hasta 2036),año de muerte sin verificar
478,Cara de Plata,Ramón María del Valle-Inclán,1922,MX(hasta 2036),año de muerte sin verificar
461,Comedias Bárbaras,Ramón María del Valle-Inclán,1907,MX(hasta 2036),año de muerte sin verificar
467,Corte de Amor,Ramón María del Valle-Inclán,1903,MX(hasta 2036),año de muerte sin verificar
459,La Corte de los Milagros,Ramón María del Valle-Inclán,1927,MX(hasta 2036),año de muerte sin verificar
472,Los Cruzados de la Causa,Ramón María del Valle-Inclán,1908,MX(hasta 2036),año de muerte sin verificar
475,Divinas Palabras,Ramón María del Valle-Inclán,1920,MX(hasta 2036),año de muerte sin verificar
488,Epitalamio,Ramón María del Valle-Inclán,s. f.,MX(hasta 2036),año de muerte sin verificar
483,Femeninas,Ramón María del Valle-Inclán,1895,MX(hasta 2036),año de muerte sin verificar
462,Fin de un Revolucionario,Ramón María del Valle-Inclán,s. f.,MX(hasta 2036),año de muerte sin verificar
469,Flor de Almendro,Ramón María del Valle-Inclán,s. f.,MX(hasta 2036),año de muerte sin verificar
473,Flor de Santidad,Ramón María del Valle-Inclán,1904,MX(hasta 2036),año de muerte sin verificar
471,Gerifaltes de Antaño,Ramón María del Valle-Inclán,1909,MX(hasta 2036),año de muerte sin verificar
463,Jardín Umbrío,Ramón María del Valle-Inclán,1903,MX(hasta 2036),año de muerte sin verificar
464,La Lámpara Maravillosa,Ramón María del Valle-Inclán,1916,MX(hasta 2036),año de muerte sin verificar
484,Luces de Bohemia,Ramón María del Valle-Inclán,1920,MX(hasta 2036),año de muerte sin verificar
490,El Marqués de Bradomín,Ramón María del Valle-Inclán,1907,MX(hasta 2036),año de muerte sin verificar
470,Martes de Carnaval,Ramón María del Valle-Inclán,1930,MX(hasta 2036),año de muerte sin verificar
466,La Media Noche,Ramón María del Valle-Inclán,1917,MX(hasta 2036),año de muerte sin verificar
476,Mi Hermana Antonia,Ramón María del Valle-Inclán,s. f.,MX(hasta 2036),año de muerte sin verificar
480,La Pipa de Kif,Ramón María del Valle-Inclán,1919,MX(hasta 2036),año de muerte sin verificar
474,El Resplandor de la Hoguera,Ramón María del Valle-Inclán,1909,MX(hasta 2036),año de muerte sin verificar
482,"Retablo de la Avaricia, la Lujuria y la Muerte",Ramón María del Valle-Inclán,s. f.,MX(hasta 2036),año de muerte sin verificar
477,Romance de Lobos,Ramón María del Valle-Inclán,1908,MX(hasta 2036),año de muerte sin verificar
481,Tablado de Marionetas para Educación de Príncipes,Ramón María del Valle-Inclán,s. f.,MX(hasta 2036),año de muerte sin verificar
485,Teatrillo de Enredo,Ramón María del Valle-Inclán,s. f.,MX(hasta 2036),año de muerte sin verificar
487,Una Tertulia de Antaño,Ramón María del Valle-Inclán,s. f.,MX(hasta 2036),año de muerte sin verificar
458,Tirano Banderas,Ramón María del Valle-Inclán,1926,MX(hasta 2036),año de muerte sin verificar
479,El Trueno Dorado,Ramón María del Valle-Inclán,1936,MX(hasta 2036),año de muerte sin verificar
457,Viva mi Dueño,Ramón María del Valle-Inclán,1928,MX(hasta 2036),año de muerte sin verificar
489,El Yermo de las Almas,Ramón María del Valle-Inclán,1908,MX(hasta 2036),año de muerte sin verificar
497,La Alpujarra,Pedro Antonio de Alarcón,1874,,falta año de muerte del autor
505,El Amigo de la Muerte,Pedro Antonio de Alarcón,1852,,falta año de muerte del autor
503,El Año en Spitzberg,Pedro Antonio de Alarcón,s. f.,,falta año de muerte del autor
500,El Capitán Veneno,Pedro Antonio de Alarcón,1881,,falta año de muerte del autor
504,El Clavo,Pedro Antonio de Alarcón,1853,,falta año de muerte del autor
493,Cuentos Amatorios,Pedro Antonio de Alarcón,1881,,falta año de muerte del autor
