id,titulo,autor,anio,anio_muerte,tipo,accion,ES,ES_libre_en,DE,DE_libre_en,MX,MX_libre_en,CL,CL_libre_en,AR,AR_libre_en,UY,UY_libre_en,US,US_libre_en,PR,PR_libre_en,CO,CO_libre_en,PE,PE_libre_en,EC,EC_libre_en,VE,VE_libre_en,NI,NI_libre_en,PY,PY_libre_en,CR,CR_libre_en,GB,GB_libre_en,CU,CU_libre_en,BO,BO_libre_en,SV,SV_libre_en,FR,FR_libre_en
102,"Física universitaria, volumen 3","Samuel J. Ling, Jeff Sanny, William Moebs (OpenStax)",2016,,Libre acceso (CC BY 4.0),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
103,Química 2ed,OpenStax,2019,,Libre acceso (CC BY 4.0),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
104,Cálculo (OpenStax),OpenStax,2016,,Libre acceso (CC BY 4.0),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
105,Conceptos en Biología (OpenStax),OpenStax,2018,,Libre acceso (CC BY 4.0),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
106,"Química General (OpenStax, vía LibreTexts español)",OpenStax,2019,,Libre acceso (CC BY 4.0),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
107,Revista Chilena de Historia Natural,Sociedad de Biología de Chile,2020,,Acceso abierto (verificar licencia por artículo),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
108,Revista Médica de Chile,Sociedad Médica de Santiago,2020,,Acceso abierto (verificar licencia por artículo),REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
109,Repositorio ANID — acceso abierto,Agencia Nacional de Investigación y Desarrollo (Chile),2022,,Acceso abierto por mandato legal,REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
200,Leo Primero,Ministerio de Educación de Chile (MINEDUC),2023,,Descarga liberada para la ciudadanía,REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
201,Sumo Primero,Ministerio de Educación de Chile (MINEDUC),2023,,Descarga liberada para la ciudadanía,REVISAR,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,,REVISAR,
