autor,anio_muerte,nacionalidad,verificado,fuente_fecha
Ministerio de Educación de Chile (MINEDUC),,,,
Nicolás Anrique R.,,,,
OpenStax,,,,
Pablo Palacio,1947,EC,no,"precargado, sin verificar"
Paul Groussac,1929,FR,si,confirmado por Rocío
Pedro Antonio de Alarcón,1891,ES,si,confirmado por Rocío
Pedro Cieza de León,,,,
Pedro José Guiteras,1890,CU,si,confirmado por Rocío
Pedro Lautaro Ferrer,1937,CL,si,confirmado por Rocío
"Programa de Información Científica, ANID",,,,
Rafael Barrett,1910,ES,si,confirmado por Rocío
Rafael Delgado,1914,MX,si,confirmado por Rocío (criterio conservador)
Ramón A. Laval,1929,CL,no,"precargado, sin verificar"
Ramón María del Valle-Inclán,1936,ES,no,"precargado, sin verificar"
Red SciELO,,,,
Reginaldo de Lizárraga,,,,
Ricardo Güiraldes,1927,AR,no,"precargado, sin verificar"
Ricardo Palma,1919,PE,si,confirmado por Rocío
Roberto Arlt,1942,AR,no,"precargado, sin verificar"
Roberto Payró,1928,AR,si,confirmado por Rocío
Rodolfo Amando Philippi,,,,
Roque Gálvez y Encinar,1940,ES,si,confirmado por Rocío
Rosa Guerra,1864,AR,si,confirmado por Rocío
Rosalía de Castro,1885,ES,si,confirmado por Rocío
Rubén Darío,1916,NI,si,confirmado por Rocío
Rufino Blanco Fombona,1944,VE,si,confirmado por Rocío
Salvador Brau,1912,PR,si,confirmado por Rocío (criterio conservador)
"Samuel J. Ling, Jeff Sanny, William Moebs (OpenStax)",,,,
Santiago Ramón y Cajal,1934,ES,no,"precargado, sin verificar"
Secretaría de Educación Pública (SEP) / CONALITEG,,,,
Sociedad Médica de Santiago,,,,
Sociedad de Biología de Chile,,,,
Soledad Acosta de Samper,1913,CO,si,confirmado por Rocío (criterio conservador)
Sor Juana Inés de la Cruz,,,,
Teresa Wilms Montt,1921,CL,no,"precargado, sin verificar"
Teresa de la Parra,1936,VE,no,"precargado, sin verificar"
Thomas Falkner,,,,
Tomás Carrasquilla,1940,CO,si,confirmado por Rocío
UNESCO y Biblioteca del Congreso,,,,
Universidad Autónoma del Estado de México,,,,
Universidad Nacional Autónoma de México,,,,
Universidad Nacional de Colombia,,,,
"Universidad Nacional de Colombia, Facultad de Ciencias",,,,
Universidad de Chile,,,,
Vicente Blasco Ibáñez,1928,ES,no,"precargado, sin verificar"
Vicente Huidobro,1948,CL,no,"precargado, sin verificar"
Vicente Pérez Rosales,,,,
Vicente Riva Palacio,1896,MX,si,confirmado por Rocío
Xavier Villaurrutia,1950,MX,si,confirmado por Rocío
